City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
149,Brisbane,AU,68.83,moderate rain,-27.4679,153.0281,Royal On The Park Brisbane
152,Saint-Philippe,RE,71.19,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
155,Conde,BR,76.46,broken clouds,-7.2597,-34.9075,Pousada Beija Flor
157,Richards Bay,ZA,62.65,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
158,Bubaque,GW,77.7,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
159,Cidreira,BR,67.66,clear sky,-30.1811,-50.2056,Hotel Castelo
164,Port Alfred,ZA,61.68,clear sky,-33.5906,26.891,The Halyards Hotel
167,Nelson Bay,AU,64.99,broken clouds,-32.7167,152.15,Mantra Nelson Bay
169,Lompoc,US,69.57,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
170,Acarau,BR,76.19,overcast clouds,-2.8856,-40.12,castelo pizzaria
171,Vincennes,FR,66.76,clear sky,48.85,2.4333,Aparthotel Adagio Paris Vincennes
172,Bethel,US,70.65,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
173,Victoria,HK,77.32,moderate rain,22.2855,114.1577,Mini Hotel Central
175,Sagua La Grande,CU,76.19,scattered clouds,22.8067,-80.0756,Hotel Telégrafo
178,Nampula,MZ,66.15,clear sky,-15.1165,39.2666,Ruby Backpackers
185,Lagoa,PT,62.46,broken clouds,39.05,-27.9833,Casa Das Faias
186,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
191,Ponta Delgada,PT,67.5,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
196,Komsomolskiy,UZ,74.12,overcast clouds,40.4272,71.7189,Ikathouse
197,Jalu,LY,67.86,clear sky,29.0331,21.5482,صاحبة الفخامة
203,Kutum,SD,78.44,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
204,Nantong,CN,64.0,light rain,32.0303,120.8747,Overseas Chinese Hotel Nantong
206,Pemangkat,ID,77.79,overcast clouds,1.1667,108.9667,Ramah Kost KITA
207,Betong,TH,72.34,overcast clouds,5.7743,101.0723,New Cathay Hotel
208,Maraba,BR,78.98,clear sky,-5.3686,-49.1178,Hotel Del Principe
211,Manakara,MG,70.93,light rain,-22.1333,48.0167,La Residence Manakara
212,Thompson,CA,64.56,broken clouds,55.7435,-97.8558,Burntwood Hotel
216,Quatre Cocos,MU,73.51,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
219,Sinnamary,GF,77.32,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
220,Kaeo,NZ,66.33,clear sky,-35.1,173.7833,Bushido Lodge
223,Port Macquarie,AU,60.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
224,Saint George,US,70.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
228,Nouakchott,MR,67.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
230,Sao Filipe,CV,71.71,few clouds,14.8961,-24.4956,Hotel Xaguate
231,Salinas,US,63.57,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
233,Broome,US,71.98,clear sky,42.2506,-75.833,Chenango Valley State Park
235,Najran,SA,79.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
236,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
240,Karratha,AU,71.55,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
243,Koumac,NC,77.9,few clouds,-20.5667,164.2833,Le Monitel
246,Kawalu,ID,74.3,overcast clouds,-7.3817,108.2082,West Jontor
252,Ahipara,NZ,66.02,clear sky,-35.1667,173.1667,Ahipara Holiday Park
253,Suamico,US,74.17,broken clouds,44.6319,-88.0393,"Country Inn & Suites by Radisson, Green Bay North, WI"
254,Chuy,UY,60.94,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
255,La Macarena,CO,74.68,broken clouds,2.1837,-73.7849,Hotel Punto Verde
256,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
257,Benguela,AO,75.99,clear sky,-12.5763,13.4055,Hotel Praia Morena
261,Porto-Vecchio,FR,60.33,clear sky,41.591,9.2795,Hôtel Le Goéland - Casa Santini
263,Mayo,US,69.78,clear sky,38.8876,-76.5119,Resorts Resource Group International
